Nom;prix;imageUrl
Hats 1 B - Swiss flag striped beanie black;3.50;/images/hats/Hats1B.jpg
Hats 2 B - Swiss flag striped beanie pink;3.50;/images/hats/Hats2B.jpg
Hats 3 B - Swiss flag striped beanie marine;3.50;/images/hats/Hats3B.jpg
Hats 4 B - Swiss flag striped beanie red;3.50;/images/hats/Hats4B.jpg
Hats 5 B - Switzerland black wooly hat;6.00;/images/hats/Hats5B.jpg
Hats 6 B - Switzerland red wooly hat;6.00;/images/hats/Hats6B.jpg
Hats 7 B - Red woolly hat;5.00;/images/hats/Hats7B.jpg
Hats 8 B - Switzerland grey beanie;3.50;/images/hats/Hats8B.jpg
Hats 9 B - Swiss Mountain;5.00;/images/hats/Hats9B.jpg
Hats 10 B - Switzerland;6.00;/images/hats/Hats10B.jpg
Hats 11 B - Pink - Swiss flag with pom pom;5.00;/images/hats/Hats11B.jpg
Hats 12 B - White - Swiss flag with pom pom;5.00;/images/hats/Hats12B.jpg
Hats 13 B - Switzerland blue;5.00;/images/hats/Hats13B.jpg
Hats 14 B - Switzerland green;5.00;/images/hats/Hats14B.jpg
Hats 15 B - Switzerland light blue;5.00;/images/hats/Hats15B.jpg
Hats 16 B - Switzerland bear;5.00;/images/hats/Hats16B.jpg
Hats 17 B - Switzerland;5.00;/images/hats/Hats17B.jpg
Hats 18 B - Black - Swiss Mountain;3.00;/images/hats/Hats18B.jpg
Hats 19 B - Red - Swiss Mountain;3.00;/images/hats/Hats19B.jpg
Hats 20 B - Navy blue - Swiss Mountain;3.00;/images/hats/Hats20B.jpg
Hats 21 B - Pink - Swiss Mountain;3.00;/images/hats/Hats21B.jpg